chr1	713697	713997
chr1	779275	779575
chr1	840054	840354
chr1	840547	840847
chr1	853507	853807
chr1	872775	873075
chr1	877964	878270
chr1	894741	895041
chr1	896295	896595
chr1	900076	900376
chr1	902190	902646
chr1	908670	908970
chr1	916230	916530
chr1	934339	934723
chr1	935049	935637
chr1	935784	936306
chr1	936875	937358
chr1	941725	942025
chr1	948411	949170
chr1	954984	955385
chr1	955628	956151
chr1	956356	956726
chr1	968099	968473
chr1	993548	994215
chr1	994450	994964
chr1	999510	999810
chr1	1014876	1015333
chr1	1026665	1026965
chr1	1050516	1050816
chr1	1060130	1060430
chr1	1068859	1069159
chr1	1076081	1076381
chr1	1086138	1086438
chr1	1092988	1094047
chr1	1136469	1137213
chr1	1142037	1142337
chr1	1145471	1145959
chr1	1147013	1147313
chr1	1153664	1154264
chr1	1166800	1167614
chr1	1170516	1170816
chr1	1172427	1173083
chr1	1182081	1182385
chr1	1186163	1186640
chr1	1189089	1189643
chr1	1191185	1191485
chr1	1192960	1193260
chr1	1199735	1200934
chr1	1201797	1202097
chr1	1208294	1209363
chr1	1218076	1218376
chr1	1227614	1227914
chr1	1230050	1230350
chr1	1237362	1237662
chr1	1239787	1240162
chr1	1242718	1243346
chr1	1243979	1244988
chr1	1259623	1260098
chr1	1260332	1260734
chr1	1263310	1263610
chr1	1268997	1269297
chr1	1274687	1275270
chr1	1278699	1279009
chr1	1280175	1280626
chr1	1283364	1283815
chr1	1290090	1290390
chr1	1293443	1293815
chr1	1294750	1295790
chr1	1296588	1297568
chr1	1306489	1306789
chr1	1309487	1310790
chr1	1334138	1334757
chr1	1334837	1335623
chr1	1341797	1343438
chr1	1345105	1345405
chr1	1356895	1357195
chr1	1362781	1363473
chr1	1365971	1366271
chr1	1366477	1367014
chr1	1367456	1367895
chr1	1369415	1369715
chr1	1376796	1377096
chr1	1406920	1407437
chr1	1408720	1409020
chr1	1446488	1447676
chr1	1463659	1463959
chr1	1483633	1483933
chr1	1492265	1492565
